,Año,Trimestre,Provincia,Accesos por cada 100 hab
508,2017,2,Chubut,11
509,2017,2,Córdoba,18
510,2017,2,Corrientes,8
511,2017,2,Entre Ríos,14
512,2017,2,Formosa,5
513,2017,2,Jujuy,6
514,2017,2,La Pampa,21
515,2017,2,La Rioja,4
516,2017,2,Mendoza,9
517,2017,2,Misiones,8
518,2017,2,Neuquén,18
519,2017,2,Río Negro,14
520,2017,2,Salta,8
521,2017,2,San Juan,7
522,2017,2,San Luis,3
523,2017,2,Santa Cruz,8
524,2017,2,Santa Fe,16
525,2017,2,Santiago Del Estero,4
526,2017,2,Tierra Del Fuego,20
527,2017,2,Tucumán,9
528,2017,1,Buenos Aires,19
529,2017,1,Capital Federal,46
530,2017,1,Catamarca,7
531,2017,1,Chaco,8
532,2017,1,Chubut,11
533,2017,1,Córdoba,18
534,2017,1,Corrientes,8
535,2017,1,Entre Ríos,13
536,2017,1,Formosa,5
537,2017,1,Jujuy,6
538,2017,1,La Pampa,21
539,2017,1,La Rioja,4
540,2017,1,Mendoza,9
541,2017,1,Misiones,8
542,2017,1,Neuquén,18
543,2017,1,Río Negro,14
544,2017,1,Salta,8
545,2017,1,San Juan,7
546,2017,1,San Luis,3
547,2017,1,Santa Cruz,8
548,2017,1,Santa Fe,16
549,2017,1,Santiago Del Estero,4
550,2017,1,Tierra Del Fuego,20
551,2017,1,Tucumán,9
552,2016,4,Buenos Aires,19
553,2016,4,Capital Federal,46
554,2016,4,Catamarca,7
555,2016,4,Chaco,8
556,2016,4,Chubut,11
557,2016,4,Córdoba,18
558,2016,4,Corrientes,8
559,2016,4,Entre Ríos,13
560,2016,4,Formosa,5
561,2016,4,Jujuy,6
562,2016,4,La Pampa,21
563,2016,4,La Rioja,4
564,2016,4,Mendoza,9
565,2016,4,Misiones,8
566,2016,4,Neuquén,18
567,2016,4,Río Negro,14
568,2016,4,Salta,8
569,2016,4,San Juan,7
570,2016,4,San Luis,3
571,2016,4,Santa Cruz,8
572,2016,4,Santa Fe,16
573,2016,4,Santiago Del Estero,4
574,2016,4,Tierra Del Fuego,21
575,2016,4,Tucumán,9
576,2016,3,Buenos Aires,18
577,2016,3,Capital Federal,46
578,2016,3,Catamarca,7
579,2016,3,Chaco,8
580,2016,3,Chubut,11
581,2016,3,Córdoba,18
582,2016,3,Corrientes,8
583,2016,3,Entre Ríos,14
584,2016,3,Formosa,5
585,2016,3,Jujuy,6
586,2016,3,La Pampa,20
587,2016,3,La Rioja,5
588,2016,3,Mendoza,9
