,Unnamed: 0,Partido,Localidad,ADSL,Unnamed: 4,DIALUP,FIBRAOPTICA,4G,Unnamed: 8,TELEFONIAFIJA,Unnamed: 10,SATELITAL
1705,SAN JUAN,,Rodeo,--,--,,--,SI,SI,,SI,--
1706,SAN JUAN,,,--,--,,,--,--,,SI,
1707,SAN JUAN,Jáchal,El Fical,,--,--,--,,,--,,--
1708,,Jáchal,El Fiscal,--,,--,--,--,,--,,--
1709,SAN JUAN,,El Médano,--,--,,--,--,--,,SI,
1710,SAN JUAN,Jáchal,,--,--,--,,--,--,--,SI,
1711,,Jáchal,Huaco,,,--,--,--,,SI,,--
1712,SAN JUAN,Jáchal,La Falda,,--,--,--,,--,--,--,--
1713,,Jáchal,Mogna,,,--,--,,,--,SI,
1714,,Jáchal,Niquivil,--,,--,--,SI,,SI,SI,
1715,SAN JUAN,,,--,--,,,--,--,,,--
1716,SAN JUAN,,San Isidro,--,--,,--,--,--,,,--
1717,,San Antonio,Puerto San Antonio Este,SI,,--,SI,--,,SI,SI,
1718,RIO NEGRO,San Antonio,Punta Colorada,,,--,--,,--,--,SI,--
1719,RIO NEGRO,San Antonio,Saco Viejo,,--,--,--,,--,--,,SI
1720,,San Antonio,San Antonio Oeste,,,SI,SI,,,SI,,SI
1721,RIO NEGRO,San Antonio,,SI,--,SI,,SI,SI,SI,SI,
1722,RIO NEGRO,,,--,--,,,--,--,,--,
1723,RIO NEGRO,,Arroyo Los Berros,--,--,,--,--,--,,--,SI
1724,RIO NEGRO,Valcheta,,--,--,--,,--,--,SI,,SI
1725,,Valcheta,Nahuel Niyeu,--,,--,SI,--,,--,--,
1726,,Valcheta,Sierra Pailemán,,,--,--,,--,SI,--,
1727,RIO NEGRO,,,--,--,,,SI,--,,,SI
1728,SALTA,,Apolinario Saravia,--,SI,,SI,SI,SI,,SI,SI
1729,,Anta,Ceibalito,,,--,SI,,,--,--,
1730,SALTA,Anta,Centro 25 de Junio,,--,--,--,,SI,--,--,--
1731,SALTA,,,--,--,,,SI,--,,,SI
1732,SALTA,Anta,,--,--,--,,SI,--,--,SI,SI
1733,SALTA,,,--,--,--,,SI,--,--,--,--
1734,SALTA,,Atocha,--,--,,SI,SI,SI,,SI,
1735,SALTA,Capital,El Tipal - La Almudena,,--,--,--,,,--,SI,SI
1736,,Capital,La Ciénaga y Barrio San Rafael,--,,--,--,SI,,--,,--
1737,SALTA,,Las Costas,--,--,,--,--,SI,,SI,
1738,SALTA,,,SI,SI,,,SI,SI,,SI,
1739,SALTA,,,SI,SI,,,SI,SI,,SI,SI
1740,SALTA,Cerrillos,,--,--,--,,SI,--,--,,--
1741,,Cerrillos,Barrio Las Tunas,,,--,SI,,,--,--,--
1742,SALTA,Cerrillos,Barrio Los Olmos,,--,--,--,,--,--,--,
1743,SALTA,Cerrillos,Barrio Los Pinares,,--,--,SI,,,--,,--
1744,,Cerrillos,Cerrillos,SI,,--,SI,SI,,SI,SI,SI
1745,SALTA,,,--,--,,,--,--,--,--,
1746,SALTA,,Misión Tierras Fiscales,--,--,,--,--,--,,--,--
1747,,Cerrillos,La Merced,--,,--,SI,SI,,SI,,SI
1748,,Cerrillos,San Agustín,,,--,--,,,SI,,SI
1749,SALTA,Cerrillos,,--,--,--,,SI,SI,--,--,
1750,SALTA,,,--,--,,,--,--,,--,
1751,SALTA,Chicoana,Barrio La Rotonda,,--,--,SI,,--,--,SI,--
1752,,Chicoana,Barrio Santa Teresita,,,--,SI,,,--,,--
1753,,Chicoana,Chicoana,SI,,--,SI,SI,,SI,SI,
1754,SALTA,Chicoana,El Carril,,,--,SI,,SI,SI,SI,SI
1755,SALTA,,Campo Santo,SI,--,,SI,SI,SI,,,SI
1756,SALTA,General Güemes,,--,--,--,,SI,--,,,--
1757,,General Güemes,El Bordo,,,--,SI,,,--,SI,--
1758,,General Güemes,General Güemes,SI,,--,SI,SI,,SI,--,
1759,,Santa Victoria,Santa Victoria,--,,--,SI,,,--,,SI
1760,SAN JUAN,25 de Mayo,Campo Afuera,,--,--,--,,--,--,,--
1761,SAN JUAN,,El Encón,--,--,,--,SI,--,,--,--
1762,SAN JUAN,25 de Mayo,,--,--,--,,--,--,--,--,
1763,SAN JUAN,,,--,--,,,--,--,,,--
1764,SAN JUAN,,Villa Borjas,--,--,,--,--,--,,SI,--
1765,,25 de Mayo,Villa Borjas - La Chimbera,,,--,--,,,SI,SI,
1766,,25 de Mayo,Villa El Tango,--,,--,--,--,,--,--,
1767,SAN JUAN,,Villa Santa Rosa,--,--,,--,SI,SI,,SI,--
1768,SAN JUAN,9 de Julio,,--,--,--,,SI,SI,SI,,SI
1769,SAN JUAN,9 de Julio,Alto de Sierra,,--,--,--,,SI,--,SI,--
1770,,9 de Julio,Colonia Fiorito,--,,--,--,--,,--,SI,
1771,SAN JUAN,9 de Julio,,--,--,--,,SI,--,--,SI,--
1772,SAN JUAN,,El Rincón,SI,--,,,SI,SI,,,--
1773,SAN JUAN,,La Cañada,--,--,,--,--,--,,--,
1774,SAN JUAN,,,--,--,,,--,--,,--,--
1775,,Albardón,Villa General San Martin,--,,--,--,--,,--,,--
1776,,Albardón,Villa General San Martín - Campo Afuera,,,--,--,,,--,SI,--
1777,SAN JUAN,,,--,--,--,,--,--,SI,--,
1778,SAN JUAN,,Villa El Salvador,--,--,,--,SI,SI,,SI,
1779,SAN JUAN,,,--,--,,,SI,SI,,,--
1780,SAN JUAN,,Barreal - Villa Pituil,--,--,,--,--,SI,,SI,--
1781,,Calingasta,Calingasta,,,--,--,,,SI,SI,
1782,,Calingasta,Tamberías,--,,SI,--,--,,SI,SI,--
1783,,Calingasta,Villa Pituil,--,,--,--,--,,--,--,--
1784,SAN JUAN,Capital,San Juan,,SI,SI,SI,,SI,SI,,SI
1785,SAN JUAN,,,--,--,,,--,--,,--,--
1786,SAN JUAN,Caucete,,--,--,--,,--,--,SI,--,
1787,SAN JUAN,Caucete,Caucete,,--,--,--,,SI,SI,,--
1788,,Caucete,El Rincón,,,--,--,,,--,--,--
1789,SAN JUAN,,Las Talas,--,--,,--,--,--,,--,
1790,SAN JUAN,,,--,--,,,--,--,,--,--
1791,,Caucete,Los Medanos,--,,--,--,--,,--,,--
1792,,Caucete,Marayes,,,--,--,,,--,,--
1793,SAN JUAN,Caucete,Pie de Palo,,--,--,--,,--,--,--,
1794,,Caucete,Vallecito,,,--,--,,,--,SI,
1795,SAN JUAN,Caucete,,--,--,--,,--,--,--,,--
1796,SALTA,,Rosario de la Frontera,SI,SI,,SI,SI,SI,,,SI
1797,,Rosario de la Frontera,San Felipe,,,--,--,,,--,--,
1798,SALTA,Rosario de Lerma,Campo Quijano,,--,--,SI,,SI,SI,SI,SI
1799,,Rosario de Lerma,La Merced del Encón,,,--,SI,,,--,,--
1800,SALTA,Rosario de Lerma,La Silleta,,--,--,SI,,--,SI,,SI
1801,SALTA,,,SI,SI,,,SI,SI,,SI,
1802,SALTA,San Carlos,,--,--,--,,SI,--,--,SI,--
1803,SALTA,San Carlos,,--,--,--,,SI,--,SI,,SI
1804,SALTA,,El Barrial,--,--,,--,--,--,,,--
